,name,weight
266,manage health and safety standards,232
267,sales argumentation,232
268,analyse external factors of companies,231
269,e-commerce systems,230
270,JavaScript,229
271,consult technical resources,227
272,apply scientific methods,227
273,handle financial transactions,225
274,communicate effectively in healthcare,225
275,oversee quality control,224
276,market analysis,223
277,curriculum standards,222
278,energy performance of buildings,222
279,write stress analysis reports,221
280,market research,220
281,instruct on safety measures,220
282,develop international cooperation strategies,219
283,ensure public safety and security,218
284,analyse staff capacity,218
285,review construction plans authorisations,218
286,computer programming,218
287,legal requirements in the social sector,218
288,interview people,218
289,cost management,217
290,relate empathetically,216
291,issue sales invoices,215
292,assist customers,215
293,develop design plans,215
294,use measurement instruments,214
295,AJAX,214
296,manufacturing processes,214
297,use safety equipment in construction,214
298,social justice,213
299,handle sensitive products,213
300,demonstrate products features,213
301,liaise with board members,212
302,identify legal requirements,211
303,PHP,211
304,identify construction materials from blueprints,211
305,compile course material,210
306,issue official documents,210
307,CAD software,210
308,ensure safety of healthcare users,210
309,social sciences,210
310,SAS language,209
311,promote social change,209
312,develop project schedule,209
313,disassemble machines,209
314,follow work schedule,208
315,Scala,208
316,use testing equipment,208
317,approve engineering design,207
318,liaise with colleagues,207
319,work within communities,207
320,dismantle broken appliances,207
321,apply quality standards in social services,206
322,maintain records of work with service users,206
323,offer assistance to national citizens,206
324,Pascal (computer programming),205
325,assess social service users situation,205
326,mechanical engineering,205
327,create a financial plan,204
328,follow clinical guidelines,204
329,communicate with social service users,204
330,report analysis results,204
331,APL,203
332,ML (computer programming),203
333,create a financial report,203
334,manage social crisis,203
335,perform safety data analysis,203
336,radiation protection,203
337,implement strategic planning,202
338,Python (computer programming),202
339,advocate for social service users,202
340,deliver social services in diverse cultural communities,202
341,build helping relationship with social service users,202
342,SAP R3,201
343,Lisp,201
344,Ruby (computer programming),201
345,COBOL,201
346,report on social development,201
347,budgetary principles,201
348,nuclear energy,201
349,internal risk management policy,201
350,food legislation,200
351,contribute to protecting individuals from harm,200
352,C#,199
353,analyse financial risk,199
354,follow health and safety precautions in social care practices,199
355,Smalltalk (computer programming),198
356,MATLAB,198
357,Groovy,198
358,Visual Studio .NET,198
359,inspect construction supplies,198
360,demonstrate leadership in social service cases,198
361,undertake continuous professional development in social work,198
362,communicate professionally with colleagues in other fields,198
363,manage resources for educational purposes,198
364,analyse consumer buying trends,198
365,R,197
366,prepare production prototypes,197
367,finish project within budget,196
368,Swift (computer programming),196
369,Common Lisp,196
370,obtain financial information,196
371,perform laboratory tests,196
372,Haskell,195
373,Assembly (computer programming),195
374,VBScript,195
375,C++,194
376,OpenEdge Advanced Business Language,194
377,Perl,194
378,apply socially just working principles,194
379,family law,194
380,keep personal administration,193
381,Java (computer programming),193
382,coordinate events,193
383,provide social counselling,193
384,ABAP,192
385,apply strategic thinking,192
386,manage project information,192
387,facilitate official agreement,192
388,international law,191
389,ASP.NET,191
390,Scratch (computer programming),191
391,empathise with the healthcare user,191
392,interact with healthcare users,191
393,manage stress in organisation,191
394,environmental legislation,190
395,types of metal,190
396,analyse legislation,190
397,perform multiple tasks at the same time,189
398,electrical engineering,189
399,resource description framework query language,189
400,communicate by telephone,189
401,Erlang,188
402,TypeScript,188
403,building codes,188
404,apply holistic approach within social services,188
405,apply decision making within social work,188
406,handle chemical cleaning agents,188
407,manage school budget,188
408,work in multidisciplinary health teams,187
409,review social service plan,187
410,liaise with engineers,187
411,Objective-C,186
412,Prolog (computer programming),186
413,advise legislators,186
414,maintain personal hygiene standards,186
415,supply chain management,186
416,analyse foreign affairs policies,186
417,integrate strategic foundation in daily performance,185
418,prevent social problems,185
419,operate precision measuring equipment,185
420,follow nuclear plant safety precautions,185
421,query languages,185
422,business process modelling,184
423,financial markets,184
424,use technical documentation,184
425,comply with legal regulations,184
426,collect samples for analysis,183
427,provide first aid,183
428,design drawings,183
429,establish collaborative relations,183
430,provide health education,183
431,diplomatic principles,183
432,business law,183
433,CoffeeScript,182
434,comply with quality standards related to healthcare practice,182
435,ensure compliance with construction project deadline,182
436,laboratory techniques,181
437,financial jurisdiction,181
438,manage profitability,181
439,corporate law,180
440,schedule shifts,180
441,advise on risk management,180
442,fix meetings,180
443,involve service users and carers in care planning,180
444,maintain students discipline,180
445,assess the development of youth,179
446,post-secondary school procedures,179
447,remove processed workpiece,179
448,human anatomy,179
449,architecture regulations,178
450,apply statistical analysis techniques,178
451,promote service users rights,178
452,use IT tools,178
453,advise on foreign affairs policies,178
454,enforce regulations of selling tobacco to minors,178
455,organise cultural events,177
456,maintain privacy of service users,177
457,apply diplomatic principles,177
458,analyse work-related written reports,176
459,information confidentiality,176
460,impart business plans to collaborators,176
461,manage accounts,176
462,apply problem solving in social service,176
463,maintain equipment,176
464,apply context specific clinical competences,175
465,protect vulnerable social service users,175
466,conduct interview in social service,175
467,analyse test data,175
468,first aid,175
469,chemistry,174
470,financial forecasting,174
471,meet standards of practice in social services,174
472,encourage students to acknowledge their achievements,173
473,lead board meetings,173
474,work in a construction team,172
475,tobacco brands,172
476,provide information to customers on tobacco products,172
477,acquire license for selling tobacco products,172
478,food preservation,171
479,distinguish fabrics,171
480,ICT security legislation,171
481,distinguish accessories,168
482,analyse economic trends,168
483,conduct field work,167
484,foreign affairs policy development,167
485,immigration law,167
486,develop creative ideas,166
487,apply change management,166
488,manage financial risk,165
489,follow safety procedures when working at heights,165
490,identify education needs,165
491,audit techniques,165
492,manage project metrics,164
493,assess environmental impact,164
494,biology,163
495,apply knowledge of human behaviour,163
496,nuclear physics,163
497,protect client interests,163
498,support childrens wellbeing,162
499,N1QL,162
500,manage space utilisation,162
501,manage standard enterprise resource planning system,162
502,analyse supply chain strategies,162
503,develop software prototype,161
504,look after trade delegations,161
505,marketing principles,161
506,crowdsourcing strategy,161
507,assess employees capability levels,161
508,legal requirements of ICT products,160
509,education administration,160
510,apply company policies,160
511,banking activities,159
512,contribute to continuity of health care,159
513,apply immigration law,159
514,manage contract disputes,159
515,act reliably,158
516,remove inadequate workpieces,158
517,develop a collaborative therapeutic relationship,158
518,use food preparation techniques,158
519,LINQ,157
520,market pricing,156
521,monitor nuclear power plant systems,156
522,energy efficiency,156
523,negotiate supplier arrangements,156
524,analyse business processes,156
525,deal with emergency care situations,156
526,respond to changing situations in health care,155
527,use cooking techniques,155
528,process payments,155
529,coordinate government activities in foreign institutions,155
530,carry out active selling,155
531,assess supplier risks,155
532,ICT project management methodologies,154
533,coordinate educational programmes,154
534,business intelligence,154
535,ensure compliance with safety legislation,154
536,communicate with shipment forwarders,154
537,handle carriers,154
538,manage government-funded programmes,154
539,advise on efficiency improvements,154
540,evaluate education programmes,153
541,record production data for quality control,152
542,follow the statutory obligations,152
543,SPARQL,152
544,apply for government funding,152
545,outsourcing strategy,152
546,write scientific papers,151
547,urban planning,151
548,support the positiveness of youths,150
549,maintain a safe,150
550,promote education programmes,150
551,operate scientific measuring equipment,150
552,review construction projects,150
553,LDAP,149
554,XQuery,149
555,international trade,149
556,resolve equipment malfunctions,149
557,project management principles,149
558,promote education course,149
559,use e-health and mobile health technologies,149
560,real estate market,149
561,monitor packaging operations,149
562,hygienic and secure working environment,149
563,MDX,148
564,securities,147
565,insourcing strategy,147
566,content marketing strategy,147
567,organise product display,147
568,report defective manufacturing materials,146
569,advise on building matters,146
570,advise on healthcare users informed consent,146
571,Microsoft Visual C++,145
572,develop food safety programmes,145
573,plan marketing strategy,145
574,shape organisational teams based on competencies,145
575,analyse a script,144
576,create software design,144
577,apply health sciences,144
578,identify ICT user needs,144
579,zoning codes,143
580,investigate complaints related to consumer protection,143
581,develop product design,143
582,prospect new customers,143
583,perform machine maintenance,142
584,execute chilling processes to food products,142
585,data models,142
586,take action on food safety violations,142
587,create decorative food displays,141
588,Lean project management,141
589,manage personal professional development,141
590,answer requests for quotation,141
591,carry out sales analysis,141
592,follow production schedule,141
593,human resource management,141
594,follow hygienic procedures during food processing,141
595,process refunds,140
596,work in textile manufacturing teams,140
597,identify necessary human resources,140
598,handover the food preparation area,140
599,plan inspections for prevention of sanitation violations,140
600,business analysis,140
601,Process-based management,140
602,risk management,139
603,CAE software,139
604,use reheating techniques,139
605,plan menus,139
606,ensure regular maintenance of kitchen equipment,139
607,translate requirement concepts into visual design,139
608,green space strategies,139
609,supervise work,139
610,stock shelves,139
611,integrate engineering principles in architectural design,139
612,plan marketing campaign,139
613,evaluate retail food inspection findings,139
614,apply safety procedures in laboratory,138
615,operate cash register,138
616,psychology,138
617,advertising techniques,138
618,maintain relationships with stakeholders,138
619,consult information sources,138
620,architectural design,138
621,integrate measures in architectural designs,137
622,create architectural sketches,137
623,develop architectural plans,137
624,design spatial layout of outdoor areas,137
625,work safely with machines,137
626,business strategy concepts,137
627,prepare reports on sanitation,137
628,evaluate employees work,137
629,control food safety regulations,136
630,trade union regulations,136
631,perform field research,136
632,integrate building requirements of clients in the architectural design,136
633,integrate marketing strategies with the global strategy,136
634,monitor gauge,136
635,estimate costs of required supplies,135
636,work safely with chemicals,135
637,keep records of attendance,135
638,supervise sales activities,135
639,Agile project management,134
640,manage healthcare users data,134
641,manage student admissions,134
642,animal welfare legislation,134
643,maintain store cleanliness,134
644,supervise food quality,134
645,consider building constraints in architectural designs,134
646,total quality control,134
647,examine merchandise,133
648,use culinary finishing techniques,133
649,financial analysis,133
650,prepare youths for adulthood,133
651,meet building regulations,132
652,properties of fabrics,132
653,organise storage facilities,132
654,prevent shoplifting,132
655,film production process,132
656,assign homework,132
657,inform policy makers on health-related challenges,132
658,apply grammar and spelling rules,131
659,electromechanics,131
660,organisational policies,131
661,use specialised design software,131
662,grammar,130
663,ICT system user requirements,130
664,upsell products,130
665,write research proposals,130
666,carry out order intake,129
667,plan aftersales arrangements,129
668,satisfy technical requirements,129
669,cold chain,129
670,apply social media marketing,129
671,maintain relations with childrens parents,129
672,make technical drawings of fashion pieces,128
673,lift heavy weights,128
674,financial capability,128
675,satisfy aesthetic requirements,128
676,create annual marketing budget,128
677,brand marketing techniques,128
678,analyse production processes for improvement,128
679,manage stock rotation,128
680,provide customer guidance on product selection,127
681,perform business analysis,127
682,analyse curriculum,127
683,educate on the prevention of illness,127
684,use CAM software,127
685,provide ICT consulting advice,127
686,cartography,127
687,adapt existing designs to changed circumstances,126
688,administer appointments,126
689,debug software,125
690,carry out products preparation,125
691,design open spaces,125
692,zero-energy building design,125
693,manage administrative systems,125
694,escort students on a field trip,125
695,prepare technical reports,125
696,solve ICT system problems,125
697,ICT software specifications,125
698,prepare financial statements,125
699,promote the safeguarding of young people,125
700,present arguments persuasively,125
701,communication principles,124
702,health care legislation,124
703,maintain the trust of service users,124
704,compile cooking recipes,124
705,manage engineering project,124
706,geology,124
707,people and the environment,124
708,design buildings,124
709,building materials industry,124
710,reduce environmental impact of footwear manufacturing,124
711,interpret 3D plans,124
712,process incoming construction supplies,124
713,identify new business opportunities,123
714,set prices of menu items,123
715,design prototypes,123
716,financial products,123
717,perform data analysis,123
718,spelling,123
719,write an architectural brief,123
720,perform playground surveillance,123
721,architectural theory,122
722,marketing management,122
723,monitor the use of kitchen equipment,122
724,footwear quality,122
725,graphic design,122
726,accounting,121
727,apply fashion trends to footwear and leather goods,121
728,conduct scholarly research,121
729,communicate with construction crews,121
730,keep up with trends in eating out,121
731,analyse samples of food and beverages,121
732,carry out tendering,120
733,footwear components,120
734,footwear materials,120
735,interpret 2D plans,120
736,check deliveries on receipt,119
737,relationship between buildings,119
738,health and safety regulations,119
739,constitutional law,118
740,insolvency law,118
741,write inspection reports,118
742,plan shifts of employees,118
743,analyse business plans,118
744,food homogenisation,118
745,manage medium term objectives,117
746,define organisational standards,117
747,pollution prevention,117
748,write technical reports,117
749,footwear manufacturing technology,117
750,topography,117
751,work with respect for own safety,117
752,interact with users to gather requirements,117
753,road traffic laws,116
754,marketing mix,116
755,review investment portfolios,116
756,synthesise financial information,116
757,create data models,116
758,object-oriented modelling,115
759,intellectual property law,115
760,health,115
761,safety and hygiene legislation,115
762,microbiology-bacteriology,115
763,follow verbal instructions,115
764,monitor parameters compliance in construction projects,114
765,analyse business objectives,114
766,monitor manufacturing quality standards,114
767,common aviation safety regulations,114
768,manage inventory,113
769,pricing strategies,113
770,trace financial transactions,113
771,seek innovation in current practices,112
772,maintain professional administration,112
773,disability types,112
774,show entrepreneurial spirit,112
775,actuarial science,112
776,consult students on learning content,112
777,multimedia systems,112
778,conduct performance tests,112
779,product data management,112
780,manage feedback,111
781,maintain work area cleanliness,111
782,create import-export commercial documentation,111
783,fasten components,111
784,ICT network security risks,111
785,legislation procedure,110
786,comply with legislation in social services,110
787,property law,110
788,process data,110
789,court procedures,109
790,apply import strategies,109
791,apply export strategies,109
792,furniture trends,109
793,communicate with youth,109
794,carry out statistical forecasts,109
795,ferrous metal processing,108
796,refer healthcare users,108
797,assist disabled individuals to participate in community activities,108
798,develop curriculum,108
799,control financial resources,108
800,define measurable marketing objectives,108
801,landscape architecture,108
802,musical instruments,108
803,use office systems,107
804,human physiology,107
805,implement customer follow-up,107
806,production processes,107
807,assess food samples,107
808,software architecture models,107
809,market entry strategies,107
810,maintain records of financial transactions,107
811,adapt to changing situations,107
812,operate soldering equipment,106
813,give instructions to staff,106
814,communicate commercial and technical issues in foreign languages,106
815,identify potential markets for companies,106
816,adapt to type of media,106
817,types of wood,106
818,ICT debugging tools,106
819,older adults needs,106
820,coordinate marketing plan actions,105
821,document interviews,105
822,use customer relationship management software,105
823,advise customers on building materials,105
824,align components,105
825,calibrate laboratory equipment,105
826,evaluate performance of organisational collaborators,105
827,keep updated on the political landscape,105
828,electrical power safety regulations,104
829,types of metal manufacturing processes,104
830,historic architecture,104
831,communicate with local residents,104
832,advise on communication strategies,104
833,evaluate marketing content,104
834,think creatively about food and beverages,104
835,manage childrens problems,104
836,hydraulics,104
837,freight transport methods,103
838,electrical wiring plans,103
839,provide career counselling,103
840,assist social service users with physical disabilities,103
841,art history,103
842,musical genres,103
843,food policy,103
844,fine arts,102
845,apparel manufacturing technology,102
846,quality and cycle time optimisation,102
847,photography,102
848,secondary school procedures,102
849,cooperate at inter-professional level,102
850,inspect government policy compliance,101
851,forecast future levels of business,101
852,order construction supplies,101
853,compare property values,101
854,participate in governmental tenders,101
855,develop a specific interior design,101
856,air transport law,101
857,manage inspections of equipment,101
858,provide support in financial calculation,101
859,rhetoric,100
860,monitor machine operations,100
861,assist students with their dissertation,100
862,architectural conservation,100
863,compile legal documents,100
864,develop documentation in accordance with legal requirements,100
865,monitor sugar uniformity,100
866,cook pastry products,100
867,create technical plans,99
868,consult with production director,99
869,encourage social service users to preserve their independence in their daily activities,99
870,support social service users in skills management,99
871,assist social service users in formulating complaints,99
872,social media marketing techniques,99
873,use instruments for food measurement,99
874,perform services in a flexible manner,99
875,prepare visual data,99
876,analyse software specifications,98
877,assist scientific research,98
878,make architectural mock-ups,98
879,use scripting programming,98
880,show confidence,98
881,refer service users to community resources,98
882,assist in childrens development of basic personal skills,98
883,provide financial product information,98
884,analyse business requirements,98
885,develop food policy,98
886,promote environmental awareness,98
887,biological chemistry,98
888,implement strategic management,98
889,dispose of hazardous waste,97
890,lead inspections,97
891,test chemical samples,97
892,supervise educational staff,97
893,financial department processes,97
894,support social service users with specific communication needs,97
895,identify ICT system weaknesses,97
896,attend to detail regarding food and beverages,97
897,perform property market research,96
898,coordinate manufacturing production activities,96
899,manufacturing of wearing apparel,96
900,public housing legislation,96
901,employ foreign languages in care,96
902,subsidiary operations,96
903,use consulting techniques,96
904,design information system,96
905,perform clerical duties,95
906,ensure conformity to specifications,95
907,software design methodologies,95
908,check quality of products on the production line,95
909,pedagogy,95
910,follow written instructions,95
911,manufacturing of made-up textile articles,95
912,accounting department processes,95
913,communicate with banking professionals,95
914,support harmed social service users,95
915,monitor service users health,95
916,check quality of raw materials,94
917,fraud detection,94
918,evaluate budgets,94
919,stock market,94
920,promote yourself,94
921,support social service users positiveness,94
922,evaluate older adults ability to take care of themselves,94
923,discuss research proposals,94
924,construction legal systems,94
925,advise on construction materials,94
926,manage ICT project,94
927,consumer law,94
928,analyse ICT system,94
929,standard sizing systems for clothing,94
930,estimate profitability,94
931,fire safety regulations,94
932,maintain operational communications,94
933,manage emergency procedures,94
934,quality assurance procedures,93
935,medical terminology,93
936,clean food and beverage machinery,93
937,ensure sanitation,93
938,create prototype of user experience solutions,93
939,oversee extra-curricular activities,93
940,greet guests,93
941,support service users to use technological aids,93
942,undertake risk assessment of clients,93
943,read assembly drawings,93
944,identify market niches,93
945,react to events in time-critical environments,93
946,prepare flambeed dishes,93
947,advise guests on menus for special events,93
948,modern portfolio theory,92
949,handle veterinary emergencies,92
950,set organisational policies,92
951,use chemical analysis equipment,92
952,report test findings,92
953,label samples,92
954,prepare legislation proposition,92
955,be at ease in unsafe environments,92
956,conduct quality control analysis,92
957,prepare building permit applications,92
958,mechanical tools,92
959,practice innovative thinking in the footwear and leather goods industries,92
960,identify clients needs,91
961,manage ethical issues within social services,91
962,support service users in developing skills,91
963,provide written content,91
964,interpret technical texts,91
965,perform product testing,91
966,furniture wood types,91
967,liaise with politicians,91
968,writing techniques,91
969,identify undetected organisational needs,91
970,levels of software testing,90
971,ensure compliance with company regulations,90
972,refer social service users,90
973,present legislation proposition,90
974,counselling methods,90
975,investment analysis,90
976,enforce financial policies,90
977,primary school procedures,90
978,strategic planning,90
979,civil engineering,90
980,conduct research interview,90
981,pharmacology,90
982,strive for harmonious architectural constructions,90
983,publish academic research,89
984,develop company strategies,89
985,business requirements techniques,89
986,transport construction supplies,89
987,maintain relations with local representatives,89
988,maintain laboratory equipment,89
989,bookkeeping regulations,89
990,prepare tax returns forms,89
991,industrial engineering,88
992,adapt teaching to target group,88
993,employ foreign languages for health-related research,88
994,collaborate in the development of marketing strategies,88
995,health and safety measures in transportation,88
996,audit HACCP,88
997,supply machine with appropriate tools,88
998,analyse customer service surveys,88
999,law enforcement,87
1000,government policy,87
1001,manage IT security compliances,87
1002,implement care programmes for children,87
1003,adult education,87
1004,track shipping sites,87
1005,install electrical and electronic equipment,87
1006,operate radio equipment,87
1007,attend to childrens basic physical needs,87
1008,dispose of cutting waste material,87
1009,perform sample testing,87
1010,business processes,86
1011,ICT project management,86
1012,musical theory,86
1013,impact of geological factors on mining operations,86
1014,manage system testing,86
1015,tools for software configuration management,86
1016,identify security threats,86
1017,hygiene in a health care setting,86
1018,manage the handling of promotional materials,86
1019,negotiate terms with suppliers,86
1020,perform ICT troubleshooting,85
1021,geographic areas,85
1022,ensure proper document management,85
1023,proofread text,85
1024,drive vehicles,85
1025,define software architecture,85
1026,define manufacturing quality criteria,85
1027,criminal law,85
1028,web analytics,85
1029,monitor system performance,85
1030,legal research,85
1031,file claims with insurance companies,85
1032,pollution legislation,85
1033,track shipments,85
1034,monitor the welfare of animals,85
1035,calculate needs for construction supplies,85
1036,interview techniques,85
1037,serve on academic committee,84
1038,provide treatment strategies for challenges to human health,84
1039,respond to customers inquiries,84
1040,get involved in the day-to-day operation of the company,84
1041,optimise production processes parameters,84
1042,follow control of substances hazardous to health procedures,84
1043,carry out inventory control accuracy,83
1044,hazardous freight regulations,83
1045,manage animal hygiene,83
1046,health care occupation-specific ethics,83
1047,advise client on technical possibilities,83
1048,check accounting records,83
1049,job market offers,83
1050,legal case management,83
1051,information security strategy,83
1052,participate in scientific colloquia,83
1053,coordinate operational activities,83
1054,organise training,83
1055,administer multi-modal logistics,82
1056,reflect on practice,82
1057,support social service users to live at home,82
1058,legal terminology,82
1059,organisational resilience,82
1060,systems development life-cycle,82
1061,maintain electrical equipment,82
1062,carry out checks of production plant equipment,82
1063,monitor merchandise delivery,82
1064,footwear creation process,82
1065,geographic information systems,82
1066,communication,82
1067,support development of annual budget,82
1068,prepare financial auditing reports,82
1069,analyse legal evidence,82
1070,understand artistic concepts,82
1071,apply crisis intervention,82
1072,integrate headquarters guidelines into local operations,82
1073,negotiate improvement with suppliers,81
1074,motivate employees,81
1075,monitor students behaviour,81
1076,handle surveillance equipment,81
1077,use software design patterns,81
1078,use automatic programming,81
1079,translate artistic concepts to technical designs,81
1080,initiate contact with sellers,81
1081,initiate contact with buyers,81
1082,assume responsibility for the management of a business,81
1083,evaluate garment quality,81
1084,operate computerised control systems,81
1085,types of maritime vessels,81
1086,manage ICT legacy implication,81
1087,perform process control in the wearing apparel industry,80
1088,ensure regulatory compliance concerning distribution activities,80
1089,manage freight payment methods,80
1090,gather experimental data,80
1091,develop investment portfolio,80
1092,use geographic information systems,80
1093,plan social service process,80
1094,budget for financial needs,80
1095,audiovisual equipment,80
1096,collect customer feedback on applications,79
1097,gather reference materials for artwork,79
1098,environmental policy,79
1099,adapt instruction to labour market,79
1100,medical informatics,79
1101,negotiate sale of commodities,79
1102,use microsoft office,79
1103,advise on lesson plans,79
1104,promote human rights,79
1105,liaise with advertising agencies,79
1106,sales promotion techniques,79
1107,accounting entries,78
1108,disseminate information on tax legislation,78
1109,types of insurance,78
1110,apply desktop publishing techniques,78
1111,desktop publishing,78
1112,customer relationship management,78
1113,public relations,78
1114,manage animal biosecurity,78
1115,create flowchart diagram,78
1116,use precision tools,78
1117,Waterfall development,78
1118,civil law,78
1119,profile people,78
1120,work in partnership with social services users,78
1121,consider social impact of actions on service users,78
1122,negotiate with social service stakeholders,78
1123,empower social service users,78
1124,develop professional identity in social work,77
1125,social work theory,77
1126,supervise doctoral students,77
1127,World Wide Web Consortium standards,77
1128,manage major incidents,77
