name,weight
apply quality standards in social services,206
maintain records of work with service users,206
offer assistance to national citizens,206
Pascal (computer programming),205
"""assess social service users situation""",205
mechanical engineering,205
create a financial plan,204
follow clinical guidelines,204
communicate with social service users,204
report analysis results,204
APL,203
ML (computer programming),203
create a financial report,203
manage social crisis,203
perform safety data analysis,203
radiation protection,203
implement strategic planning,202
Python (computer programming),202
advocate for social service users,202
deliver social services in diverse cultural communities,202
build helping relationship with social service users,202
SAP R3,201
Lisp,201
Ruby (computer programming),201
COBOL,201
report on social development,201
budgetary principles,201
nuclear energy,201
internal risk management policy,201
food legislation,200
contribute to protecting individuals from harm,200
C#,199
analyse financial risk,199
follow health and safety precautions in social care practices,199
Smalltalk (computer programming),198
MATLAB,198
Groovy,198
Visual Studio .NET,198
inspect construction supplies,198
demonstrate leadership in social service cases,198
undertake continuous professional development in social work,198
communicate professionally with colleagues in other fields,198
manage resources for educational purposes,198
analyse consumer buying trends,198
R,197
prepare production prototypes,197
finish project within budget,196
Swift (computer programming),196
Common Lisp,196
obtain financial information,196
perform laboratory tests,196
Haskell,195
Assembly (computer programming),195
VBScript,195
C++,194
OpenEdge Advanced Business Language,194
Perl,194
apply socially just working principles,194
family law,194
keep personal administration,193
Java (computer programming),193
coordinate events,193
provide social counselling,193
ABAP,192
apply strategic thinking,192
manage project information,192
facilitate official agreement,192
international law,191
ASP.NET,191
Scratch (computer programming),191
empathise with the healthcare user,191
interact with healthcare users,191
manage stress in organisation,191
environmental legislation,190
types of metal,190
analyse legislation,190
perform multiple tasks at the same time,189
electrical engineering,189
resource description framework query language,189
communicate by telephone,189
Erlang,188
TypeScript,188
building codes,188
apply holistic approach within social services,188
apply decision making within social work,188
handle chemical cleaning agents,188
manage school budget,188
work in multidisciplinary health teams,187
review social service plan,187
liaise with engineers,187
Objective-C,186
Prolog (computer programming),186
advise legislators,186
maintain personal hygiene standards,186
supply chain management,186
analyse foreign affairs policies,186
integrate strategic foundation in daily performance,185
prevent social problems,185
operate precision measuring equipment,185
follow nuclear plant safety precautions,185
query languages,185
business process modelling,184
financial markets,184
use technical documentation,184
comply with legal regulations,184
collect samples for analysis,183
provide first aid,183
design drawings,183
establish collaborative relations,183
provide health education,183
diplomatic principles,183
business law,183
CoffeeScript,182
comply with quality standards related to healthcare practice,182
ensure compliance with construction project deadline,182
laboratory techniques,181
financial jurisdiction,181
manage profitability,181
corporate law,180
schedule shifts,180
advise on risk management,180
fix meetings,180
involve service users and carers in care planning,180
"""maintain students discipline""",180
assess the development of youth,179
post-secondary school procedures,179
remove processed workpiece,179
human anatomy,179
architecture regulations,178
apply statistical analysis techniques,178
"""promote service users rights""",178
use IT tools,178
advise on foreign affairs policies,178
enforce regulations of selling tobacco to minors,178
organise cultural events,177
maintain privacy of service users,177
apply diplomatic principles,177
analyse work-related written reports,176
information confidentiality,176
impart business plans to collaborators,176
manage accounts,176
apply problem solving in social service,176
maintain equipment,176
apply context specific clinical competences,175
protect vulnerable social service users,175
conduct interview in social service,175
analyse test data,175
first aid,175
chemistry,174
financial forecasting,174
meet standards of practice in social services,174
encourage students to acknowledge their achievements,173
lead board meetings,173
work in a construction team,172
tobacco brands,172
provide information to customers on tobacco products,172
acquire license for selling tobacco products,172
food preservation,171
distinguish fabrics,171
ICT security legislation,171
distinguish accessories,168
analyse economic trends,168
conduct field work,167
foreign affairs policy development,167
immigration law,167
develop creative ideas,166
apply change management,166
manage financial risk,165
follow safety procedures when working at heights,165
identify education needs,165
audit techniques,165
manage project metrics,164
assess environmental impact,164
biology,163
apply knowledge of human behaviour,163
nuclear physics,163
protect client interests,163
"""support childrens wellbeing""",162
N1QL,162
manage space utilisation,162
manage standard enterprise resource planning system,162
analyse supply chain strategies,162
develop software prototype,161
look after trade delegations,161
marketing principles,161
crowdsourcing strategy,161
"""assess employees capability levels""",161
legal requirements of ICT products,160
education administration,160
apply company policies,160
banking activities,159
contribute to continuity of health care,159
apply immigration law,159
manage contract disputes,159
act reliably,158
remove inadequate workpieces,158
develop a collaborative therapeutic relationship,158
use food preparation techniques,158
LINQ,157
market pricing,156
monitor nuclear power plant systems,156
energy efficiency,156
negotiate supplier arrangements,156
analyse business processes,156
deal with emergency care situations,156
respond to changing situations in health care,155
use cooking techniques,155
process payments,155
coordinate government activities in foreign institutions,155
carry out active selling,155
assess supplier risks,155
ICT project management methodologies,154
coordinate educational programmes,154
business intelligence,154
ensure compliance with safety legislation,154
communicate with shipment forwarders,154
handle carriers,154
manage government-funded programmes,154
advise on efficiency improvements,154
evaluate education programmes,153
record production data for quality control,152
follow the statutory obligations,152
SPARQL,152
apply for government funding,152
outsourcing strategy,152
write scientific papers,151
urban planning,151
support the positiveness of youths,150
maintain a safe,150
promote education programmes,150
operate scientific measuring equipment,150
review construction projects,150
LDAP,149
XQuery,149
international trade,149
resolve equipment malfunctions,149
project management principles,149
promote education course,149
use e-health and mobile health technologies,149
real estate market,149
monitor packaging operations,149
hygienic and secure working environment,149
MDX,148
securities,147
insourcing strategy,147
content marketing strategy,147
organise product display,147
report defective manufacturing materials,146
advise on building matters,146
"""advise on healthcare users informed consent""",146
Microsoft Visual C++,145
develop food safety programmes,145
plan marketing strategy,145
shape organisational teams based on competencies,145
analyse a script,144
create software design,144
apply health sciences,144
identify ICT user needs,144
zoning codes,143
investigate complaints related to consumer protection,143
develop product design,143
prospect new customers,143
perform machine maintenance,142
execute chilling processes to food products,142
data models,142
take action on food safety violations,142
create decorative food displays,141
Lean project management,141
manage personal professional development,141
answer requests for quotation,141
carry out sales analysis,141
follow production schedule,141
human resource management,141
follow hygienic procedures during food processing,141
process refunds,140
work in textile manufacturing teams,140
identify necessary human resources,140
handover the food preparation area,140
plan inspections for prevention of sanitation violations,140
business analysis,140
Process-based management,140
risk management,139
CAE software,139
use reheating techniques,139
plan menus,139
ensure regular maintenance of kitchen equipment,139
translate requirement concepts into visual design,139
green space strategies,139
supervise work,139
stock shelves,139
integrate engineering principles in architectural design,139
plan marketing campaign,139
evaluate retail food inspection findings,139
apply safety procedures in laboratory,138
operate cash register,138
psychology,138
advertising techniques,138
maintain relationships with stakeholders,138
consult information sources,138
architectural design,138
integrate measures in architectural designs,137
create architectural sketches,137
develop architectural plans,137
design spatial layout of outdoor areas,137
work safely with machines,137
business strategy concepts,137
prepare reports on sanitation,137
evaluate employees work,137
control food safety regulations,136
trade union regulations,136
perform field research,136
integrate building requirements of clients in the architectural design,136
integrate marketing strategies with the global strategy,136
monitor gauge,136
estimate costs of required supplies,135
work safely with chemicals,135
keep records of attendance,135
supervise sales activities,135
Agile project management,134
"""manage healthcare users data""",134
manage student admissions,134
animal welfare legislation,134
maintain store cleanliness,134
supervise food quality,134
consider building constraints in architectural designs,134
total quality control,134
examine merchandise,133
use culinary finishing techniques,133
financial analysis,133
prepare youths for adulthood,133
meet building regulations,132
properties of fabrics,132
organise storage facilities,132
prevent shoplifting,132
film production process,132
assign homework,132
inform policy makers on health-related challenges,132
apply grammar and spelling rules,131
electromechanics,131
organisational policies,131
use specialised design software,131
grammar,130
ICT system user requirements,130
upsell products,130
write research proposals,130
carry out order intake,129
plan aftersales arrangements,129
satisfy technical requirements,129
cold chain,129
apply social media marketing,129
"""maintain relations with childrens parents""",129
make technical drawings of fashion pieces,128
lift heavy weights,128
financial capability,128
satisfy aesthetic requirements,128
create annual marketing budget,128
brand marketing techniques,128
analyse production processes for improvement,128
manage stock rotation,128
provide customer guidance on product selection,127
perform business analysis,127
analyse curriculum,127
educate on the prevention of illness,127
use CAM software,127
provide ICT consulting advice,127
cartography,127
adapt existing designs to changed circumstances,126
administer appointments,126
debug software,125
carry out products preparation,125
design open spaces,125
zero-energy building design,125
manage administrative systems,125
escort students on a field trip,125
prepare technical reports,125
solve ICT system problems,125
ICT software specifications,125
prepare financial statements,125
promote the safeguarding of young people,125
present arguments persuasively,125
communication principles,124
health care legislation,124
maintain the trust of service users,124
compile cooking recipes,124
manage engineering project,124
geology,124
people and the environment,124
design buildings,124
building materials industry,124
reduce environmental impact of footwear manufacturing,124
interpret 3D plans,124
process incoming construction supplies,124
identify new business opportunities,123
set prices of menu items,123
design prototypes,123
financial products,123
perform data analysis,123
spelling,123
write an architectural brief,123
perform playground surveillance,123
architectural theory,122
marketing management,122
monitor the use of kitchen equipment,122
footwear quality,122
graphic design,122
accounting,121
apply fashion trends to footwear and leather goods,121
conduct scholarly research,121
communicate with construction crews,121
keep up with trends in eating out,121
analyse samples of food and beverages,121
carry out tendering,120
footwear components,120
footwear materials,120
interpret 2D plans,120
check deliveries on receipt,119
relationship between buildings,119
health and safety regulations,119
constitutional law,118
insolvency law,118
write inspection reports,118
plan shifts of employees,118
analyse business plans,118
food homogenisation,118
manage medium term objectives,117
define organisational standards,117
pollution prevention,117
write technical reports,117
footwear manufacturing technology,117
topography,117
work with respect for own safety,117
interact with users to gather requirements,117
road traffic laws,116
marketing mix,116
review investment portfolios,116
synthesise financial information,116
create data models,116
object-oriented modelling,115
intellectual property law,115
health,115
safety and hygiene legislation,115
microbiology-bacteriology,115
follow verbal instructions,115
"""monitor parameters compliance in construction projects""",114
analyse business objectives,114
monitor manufacturing quality standards,114
common aviation safety regulations,114
manage inventory,113
pricing strategies,113
trace financial transactions,113
seek innovation in current practices,112
maintain professional administration,112
disability types,112
show entrepreneurial spirit,112
actuarial science,112
consult students on learning content,112
multimedia systems,112
conduct performance tests,112
product data management,112
manage feedback,111
maintain work area cleanliness,111
create import-export commercial documentation,111
fasten components,111
ICT network security risks,111
legislation procedure,110
comply with legislation in social services,110
property law,110
process data,110
court procedures,109
apply import strategies,109
apply export strategies,109
furniture trends,109
communicate with youth,109
carry out statistical forecasts,109
ferrous metal processing,108
refer healthcare users,108
assist disabled individuals to participate in community activities,108
develop curriculum,108
control financial resources,108
define measurable marketing objectives,108
landscape architecture,108
musical instruments,108
use office systems,107
human physiology,107
implement customer follow-up,107
production processes,107
assess food samples,107
software architecture models,107
market entry strategies,107
maintain records of financial transactions,107
adapt to changing situations,107
operate soldering equipment,106
give instructions to staff,106
communicate commercial and technical issues in foreign languages,106
identify potential markets for companies,106
adapt to type of media,106
types of wood,106
ICT debugging tools,106
"""older adults needs""",106
coordinate marketing plan actions,105
document interviews,105
use customer relationship management software,105
advise customers on building materials,105
align components,105
calibrate laboratory equipment,105
evaluate performance of organisational collaborators,105
keep updated on the political landscape,105
electrical power safety regulations,104
types of metal manufacturing processes,104
